Place,Cases,CasesLast14Days,AvgDailyPer100K,RelativeChange,TotalTested,TotalTestedLast14Days,TotalPositiveLast14Days,PctPositive,ChangePctPositivity,Date
Holland,12,0,0,Lower,690,117,0,0,Lower,2020-09-16
Hopkinton,141,0,0,No Change,5950,947,0,0,Lower,2020-09-16
Hubbardston,8,0,0,No Change,1293,225,0,0,No Change,2020-09-16
Lanesborough,8,0,0,No Change,807,135,0,0,No Change,2020-09-16
Lee,22,0,0,No Change,1727,182,0,0,No Change,2020-09-16
Lenox,19,0,0,Lower,2144,198,0,0,Lower,2020-09-16
Leyden,0,0,0,No Change,46,11,0,0,No Change,2020-09-16
Marion,18,0,0,Lower,3844,933,0,0,No Change,2020-09-16
Middlefield,0,0,0,No Change,51,12,0,0,No Change,2020-09-16
Montague,29,0,0,No Change,2776,463,0,0,No Change,2020-09-16
New Ashford,0,0,0,No Change,44,5,0,0,No Change,2020-09-16
New Marlborough,9,0,0,No Change,284,47,0,0,No Change,2020-09-16
North Brookfield,24,0,0,Lower,1370,205,0,0,Lower,2020-09-16
Oak Bluffs,10,0,0,Lower,2146,225,0,0,Lower,2020-09-16
Orange,49,0,0,Lower,2712,370,0,0,Lower,2020-09-16
Petersham,8,0,0,No Change,359,58,0,0,No Change,2020-09-16
Plympton,12,0,0,No Change,749,101,0,0,No Change,2020-09-16
Princeton,8,0,0,No Change,1271,236,0,0,No Change,2020-09-16
Provincetown,29,0,0,No Change,1542,98,0,0,No Change,2020-09-16
Richmond,5,0,0,No Change,396,66,0,0,No Change,2020-09-16
Rowe,0,0,0,No Change,102,11,0,0,No Change,2020-09-16
Rowley,68,0,0,No Change,2349,284,0,0,No Change,2020-09-16
Sandisfield,7,0,0,No Change,458,40,0,0,No Change,2020-09-16
Shelburne,9,0,0,Lower,1120,196,0,0,Lower,2020-09-16
Southampton,35,0,0,Lower,1871,392,0,0,Lower,2020-09-16
Stockbridge,15,0,0,No Change,704,86,0,0,No Change,2020-09-16
Sunderland,10,0,0,No Change,3101,1290,0,0,No Change,2020-09-16
Templeton,127,0,0,Lower,2941,382,0,0,Lower,2020-09-16
Wales,5,0,0,No Change,447,74,0,0,No Change,2020-09-16
Warwick,0,0,0,No Change,206,37,0,0,No Change,2020-09-16
Wellfleet,7,0,0,Lower,865,81,0,0,Lower,2020-09-16
Wendell,0,0,0,No Change,306,55,0,0,No Change,2020-09-16
West Brookfield,26,0,0,No Change,1841,248,0,0,No Change,2020-09-16
West Newbury,15,0,0,Lower,1333,225,0,0,Lower,2020-09-16
West Tisbury,14,0,0,No Change,1495,187,0,0,Lower,2020-09-16
Westhampton,10,0,0,Lower,316,42,0,0,Lower,2020-09-16
Whately,8,0,0,No Change,259,56,0,0,No Change,2020-09-16
Williamsburg,17,0,0,Lower,1360,253,0,0,Lower,2020-09-16
Windsor,0,0,0,No Change,216,34,0,0,No Change,2020-09-16
Worthington,0,0,0,No Change,344,56,0,0,No Change,2020-09-16
Mount Washington,0,0,0,No Change,10,,0,,No Change,2020-09-16
Unknown,333,29,,*,86180,9680,32,,*,2020-09-16
West Stockbridge,11,,12,Higher,474,78,5,0.064102564,Higher,2020-09-23
Lawrence,4538,273,22.1,Lower,47598,5980,351,0.058695652,Lower,2020-09-23
Revere,2582,154,18.1,Lower,32137,4636,200,0.043140638,Lower,2020-09-23
Chester,6,,5.3,No Change,306,47,2,0.042553191,No Change,2020-09-23
Lynn,4792,160,11.3,Lower,50717,5641,232,0.04112746,Lower,2020-09-23
Chelsea,3556,118,22.4,Lower,29465,3858,155,0.040176257,Lower,2020-09-23
New Bedford,2627,131,9.4,Lower,39665,4732,181,0.038250211,Lower,2020-09-23
Nantucket,88,42,26.5,Higher,5364,1127,42,0.037267081,Lower,2020-09-23
Framingham,2203,130,12.5,Higher,30654,4426,147,0.033212833,Higher,2020-09-23
Everett,2227,81,11.9,Lower,24706,3512,104,0.029612756,Lower,2020-09-23
Seekonk,124,10,5.1,Higher,3519,474,14,0.029535865,Higher,2020-09-23
Fall River,2080,95,7.6,Higher,40533,4475,130,0.029050279,Lower,2020-09-23
Marlborough,1188,51,8.4,Higher,19160,2317,64,0.027621925,Higher,2020-09-23
Tyngsborough,132,14,8.3,Lower,4231,632,17,0.026898734,Lower,2020-09-23
Attleboro,815,49,7.6,Higher,14264,2091,56,0.026781444,No Change,2020-09-23
Wrentham,249,19,12,Higher,5766,812,21,0.025862069,Higher,2020-09-23
Methuen,1262,59,7.9,No Change,22674,3237,78,0.024096386,No Change,2020-09-23
Rockland,329,14,5.5,Higher,5826,770,18,0.023376623,Higher,2020-09-23
Brockton,4754,92,6.7,Higher,47721,5324,121,0.022727273,Lower,2020-09-23
Lowell,3339,129,7.9,Higher,55339,6785,152,0.022402358,Higher,2020-09-23
Monson,63,8,6.8,Lower,2731,566,12,0.021201413,Lower,2020-09-23
Saugus,702,34,8.5,No Change,12843,1949,41,0.021036429,No Change,2020-09-23
Plainville,90,9,7,Lower,2936,480,10,0.020833333,Lower,2020-09-23
Lynnfield,135,9,5.5,Lower,4908,744,14,0.018817204,Lower,2020-09-23
Dracut,537,27,6,Higher,13440,1653,31,0.018753781,Higher,2020-09-23
Abington,279,9,3.6,No Change,5770,756,14,0.018518519,Lower,2020-09-23
Huntington,19,,6.5,Lower,747,109,2,0.018348624,Lower,2020-09-23
Clinton,305,13,6.6,Lower,5688,711,13,0.018284107,Lower,2020-09-23
Milford,743,20,4.9,Higher,12342,1392,25,0.01795977,Higher,2020-09-23
Woburn,753,37,6.4,Higher,16372,2421,43,0.017761256,Higher,2020-09-23
Scituate,224,12,4.7,Higher,6197,903,16,0.017718715,Higher,2020-09-23
Haverhill,1445,52,5.6,Lower,28160,3732,66,0.017684887,No Change,2020-09-23
Holliston,93,16,8.3,Higher,5362,922,16,0.017353579,Higher,2020-09-23
Chelmsford,426,27,5.4,Lower,14291,1735,30,0.017291066,Lower,2020-09-23
Hingham,333,25,7.5,No Change,9165,1570,27,0.017197452,Lower,2020-09-23
Holbrook,224,9,5.7,Higher,3980,525,9,0.017142857,Higher,2020-09-23
Norwood,672,28,6.6,Higher,13297,2021,34,0.016823355,Higher,2020-09-23
Halifax,68,5,4.7,Higher,2396,363,6,0.016528926,Higher,2020-09-23
Westford,198,19,5.9,Higher,8518,1271,21,0.016522423,Higher,2020-09-23
Braintree,893,33,6,Higher,16283,2457,40,0.016280016,Higher,2020-09-23
Duxbury,145,13,6.1,Lower,5934,807,13,0.016109046,Lower,2020-09-23
Spencer,96,9,5.6,Higher,4272,686,11,0.016034985,Higher,2020-09-23
Millis,61,6,5.4,Higher,2709,437,7,0.016018307,Higher,2020-09-23
Berkley,88,5,5.3,Higher,2297,314,5,0.015923567,Higher,2020-09-23
Weymouth,862,34,4.3,Lower,19877,2646,42,0.015873016,Lower,2020-09-23
Ashland,304,16,5.9,Higher,7323,1140,18,0.015789474,Higher,2020-09-23
West Springfield,457,16,3.9,Higher,9979,1409,22,0.015613911,No Change,2020-09-23
Stoughton,661,16,4.1,Higher,11195,1372,21,0.015306122,Higher,2020-09-23
Chatham,33,,3.7,Lower,1941,198,3,0.015151515,Lower,2020-09-23
Hull,76,6,4.3,Higher,3031,402,6,0.014925373,Lower,2020-09-23
Richmond,6,,5.4,Higher,431,68,1,0.014705882,Higher,2020-09-23
North Attleborough,335,16,3.8,Lower,8527,1363,20,0.014673514,Lower,2020-09-23
Westborough,389,16,6.1,Higher,7884,1378,20,0.014513788,No Change,2020-09-23
Hanover,95,7,3.5,Lower,4289,760,11,0.014473684,No Change,2020-09-23
Middleton,188,6,4.2,Higher,3368,421,6,0.014251781,Higher,2020-09-23
East Longmeadow,310,13,5.5,Higher,6867,1125,16,0.014222222,Higher,2020-09-23
Fairhaven,270,10,4.5,Higher,6615,778,11,0.014138817,Higher,2020-09-23
Auburn,256,11,4.8,Higher,6494,1007,14,0.013902681,Higher,2020-09-23
Winthrop,405,25,9.5,Higher,11897,2408,33,0.013704319,Higher,2020-09-23
Rehoboth,84,6,3.4,Higher,2941,438,6,0.01369863,Higher,2020-09-23
East Bridgewater,208,7,3.4,Lower,4491,588,8,0.013605442,Lower,2020-09-23
Avon,85,,4.9,Higher,1752,222,3,0.013513514,Higher,2020-09-23
Palmer,79,6,3.6,Lower,3914,669,9,0.013452915,Higher,2020-09-23
Northborough,246,11,5.7,Higher,5944,829,11,0.013268999,Higher,2020-09-23
Middleborough,320,10,2.7,Lower,8473,906,12,0.013245033,Lower,2020-09-23
Marshfield,202,10,2.8,Higher,7948,1062,14,0.013182674,Higher,2020-09-23
Lakeville,79,,1.3,Lower,3405,464,6,0.012931034,Lower,2020-09-23
Hanson,126,5,3.3,No Change,3336,470,6,0.012765957,Higher,2020-09-23
Billerica,654,26,4.3,Higher,15145,2135,27,0.01264637,Higher,2020-09-23
Taunton,1116,32,4,Higher,23855,2861,36,0.012583013,Higher,2020-09-23
Groveland,48,,2.1,Lower,2203,320,4,0.0125,Higher,2020-09-23
Pepperell,69,6,3.5,Higher,3306,480,6,0.0125,Higher,2020-09-23
Acushnet,116,,2.7,No Change,3059,405,5,0.012345679,Lower,2020-09-23
Plymouth,695,27,3.1,Lower,20988,2474,30,0.012126112,Lower,2020-09-23
Shirley,185,,3.4,No Change,4325,330,4,0.012121212,No Change,2020-09-23
Holyoke,1112,23,4,Higher,21138,2484,30,0.012077295,Higher,2020-09-23
Malden,1494,45,4.7,Lower,29220,4937,59,0.011950577,Lower,2020-09-23
Dartmouth,467,22,4.3,Higher,13849,2629,31,0.011791556,Higher,2020-09-23
Southwick,68,,2.9,Higher,3066,425,5,0.011764706,Higher,2020-09-23
Stoneham,445,17,5.4,Higher,10299,1551,18,0.011605416,Higher,2020-09-23
Wellfleet,8,,2.6,No Change,910,87,1,0.011494253,No Change,2020-09-23
Walpole,288,16,4.4,Higher,10170,1579,18,0.01139962,Higher,2020-09-23
Wenham,32,,5.5,Higher,3024,351,4,0.011396011,Higher,2020-09-23
Swansea,178,5,2.2,Higher,5238,615,7,0.011382114,No Change,2020-09-23
Carver,78,,2.3,Lower,3410,440,5,0.011363636,Lower,2020-09-23
Raynham,259,7,3.3,Higher,5352,707,8,0.011315417,Higher,2020-09-23
Salem,818,25,4,Lower,22447,3381,38,0.011239278,No Change,2020-09-23
Quincy,1438,52,3.7,Higher,38971,6083,67,0.011014302,No Change,2020-09-23
Springfield,3406,95,4.3,Higher,65367,10714,118,0.011013627,No Change,2020-09-23
Kingston,155,,2.1,Higher,4966,545,6,0.011009174,Higher,2020-09-23
Boxford,56,,2.8,Higher,2903,464,5,0.010775862,Higher,2020-09-23
Canton,358,15,4.6,Higher,11093,1581,17,0.010752688,Higher,2020-09-23
Freetown,121,,2.4,No Change,2656,373,4,0.010723861,Lower,2020-09-23
Hudson,238,10,3.4,Higher,7103,966,10,0.010351967,Higher,2020-09-23
Newburyport,141,11,4.4,Higher,7979,1076,11,0.010223048,Higher,2020-09-23
Leominster,774,10,1.8,Lower,17553,2063,21,0.01017935,No Change,2020-09-23
Melrose,321,21,5.2,Higher,14475,2385,24,0.010062893,Higher,2020-09-23
Westport,133,6,2.6,Higher,5359,699,7,0.010014306,No Change,2020-09-23
Danvers,793,12,3,Lower,13826,1503,15,0.00998004,Lower,2020-09-23
Rutland,64,5,4,Higher,3296,606,6,0.00990099,Higher,2020-09-23
Wareham,240,7,2.1,Higher,6580,720,7,0.009722222,No Change,2020-09-23
Upton,32,,3.2,Higher,2280,413,4,0.00968523,Higher,2020-09-23
Pembroke,117,6,2.3,Higher,5267,724,7,0.009668508,Higher,2020-09-23
Rochester,44,,2.5,Higher,1563,207,2,0.009661836,Higher,2020-09-23
Franklin,189,13,2.7,Higher,10305,1553,15,0.009658725,Higher,2020-09-23
Westwood,169,9,4.4,Higher,6537,1036,10,0.00965251,Higher,2020-09-23
Georgetown,76,,1.6,Lower,2879,416,4,0.009615385,Lower,2020-09-23
Dennis,107,,2.2,No Change,3911,418,4,0.009569378,Lower,2020-09-23
Chicopee,625,19,2.4,Higher,19844,2960,28,0.009459459,Higher,2020-09-23
Wilmington,373,9,2.6,Lower,8147,1274,12,0.009419152,Lower,2020-09-23
Westfield,534,13,2.2,Higher,13744,1916,18,0.009394572,Higher,2020-09-23
Agawam,556,13,3.2,Higher,13044,1653,15,0.00907441,Higher,2020-09-23
Holden,160,11,4.2,Higher,8365,1332,12,0.009009009,Higher,2020-09-23
Whitman,220,,1.9,Lower,4821,666,6,0.009009009,Lower,2020-09-23
Ludlow,166,10,3.4,Higher,7436,1228,11,0.008957655,Higher,2020-09-23
Bellingham,165,6,2.4,Higher,5124,673,6,0.008915305,Higher,2020-09-23
Hopedale,57,,3.8,Lower,2464,339,3,0.008849558,Lower,2020-09-23
Salisbury,67,,0.8,Lower,2720,339,3,0.008849558,Lower,2020-09-23
Somerset,239,7,2.7,Lower,6987,808,7,0.008663366,Lower,2020-09-23
Dalton,22,,2.2,Higher,1983,233,2,0.008583691,Higher,2020-09-23
Worcester,6249,238,8.9,Lower,151629,34906,299,0.008565863,No Change,2020-09-23
State,126408,4823,4.9,Higher,3557548,693958,5950,0.008475,No Change,2020-09-23
Weston,133,7,4.5,Higher,6091,1064,9,0.008458647,Higher,2020-09-23
Peabody,1180,21,2.7,Higher,23364,3195,27,0.008450704,Lower,2020-09-23
Millbury,236,,2.1,Higher,4944,711,6,0.008438819,Higher,2020-09-23
Millville,27,0,0,Lower,859,119,1,0.008403361,Lower,2020-09-23
Northbridge,346,6,2.4,No Change,6142,837,7,0.008363202,Lower,2020-09-23
Essex,26,,1.9,Higher,1042,120,1,0.008333333,Higher,2020-09-23
Falmouth,265,12,2.7,No Change,13562,1803,15,0.008319468,No Change,2020-09-23
Littleton,114,,2.9,Higher,3946,605,5,0.008264463,Higher,2020-09-23
Mashpee,83,5,2.3,Higher,5427,605,5,0.008264463,Higher,2020-09-23
Natick,482,17,3.4,Higher,14513,2454,20,0.008149959,Higher,2020-09-23
Provincetown,29,,2.7,Higher,1612,123,1,0.008130081,Higher,2020-09-23
Ashby,18,0,0,No Change,895,125,1,0.008,No Change,2020-09-23
West Bridgewater,157,,3,Lower,3280,376,3,0.007978723,Lower,2020-09-23
Wakefield,357,9,2.4,No Change,11742,1757,14,0.007968127,No Change,2020-09-23
Fitchburg,879,9,1.5,Lower,17714,2032,16,0.007874016,Lower,2020-09-23
Manchester,23,,2.9,Higher,1592,255,2,0.007843137,Higher,2020-09-23
Medfield,49,7,4.4,Higher,4655,898,7,0.0077951,Higher,2020-09-23
Dedham,508,22,5.8,Lower,13704,3622,28,0.007730536,Lower,2020-09-23
Norwell,141,5,3.3,No Change,3868,661,5,0.007564297,Lower,2020-09-23
Athol,86,,1.8,No Change,4665,536,4,0.007462687,Lower,2020-09-23
Barnstable,458,8,1.3,Lower,14219,1616,12,0.007425743,Lower,2020-09-23
Southbridge,205,5,2.1,No Change,6269,813,6,0.007380074,Lower,2020-09-23
Bridgewater,404,16,4,Higher,13487,2463,18,0.007308161,Higher,2020-09-23
Lancaster,115,,2.5,Lower,2916,411,3,0.00729927,Lower,2020-09-23
Randolph,1040,10,2.1,Lower,15884,1958,14,0.007150153,Lower,2020-09-23
Rockport,87,,1.1,No Change,2157,283,2,0.007067138,Higher,2020-09-23
Maynard,92,,2.7,Higher,4142,591,4,0.00676819,Higher,2020-09-23
Great Barrington,83,5,5.3,No Change,6149,1188,8,0.006734007,Higher,2020-09-23
Adams,43,,2.6,No Change,2448,449,3,0.006681514,Lower,2020-09-23
Watertown,444,18,3.9,Higher,15549,2861,19,0.006641035,Higher,2020-09-23
Boylston,26,,3.2,No Change,1743,304,2,0.006578947,No Change,2020-09-23
Bedford,270,7,3.4,Higher,10353,1080,7,0.006481481,Lower,2020-09-23
Mansfield,211,8,2.4,Lower,8038,1391,9,0.006470165,Lower,2020-09-23
Lunenburg,78,,2.1,Higher,3657,469,3,0.006396588,Higher,2020-09-23
Uxbridge,90,,1.9,Higher,4326,629,4,0.0063593,Higher,2020-09-23
Gardner,213,5,1.8,Lower,10432,1113,7,0.006289308,No Change,2020-09-23
Ipswich,88,,1.6,Higher,4878,637,4,0.006279435,Higher,2020-09-23
Boston,17348,773,7.9,Higher,527297,152051,915,0.006017718,No Change,2020-09-23
Reading,336,10,2.6,Higher,10387,1681,10,0.00594884,Higher,2020-09-23
North Reading,221,6,2.6,Higher,6109,1012,6,0.005928854,Higher,2020-09-23
Harvard,20,,1,Lower,2048,339,2,0.005899705,Lower,2020-09-23
Leicester,175,,2.5,No Change,4832,851,5,0.005875441,No Change,2020-09-23
Newbury,22,,2.1,Higher,2288,349,2,0.005730659,Higher,2020-09-23
Sterling,132,,1.8,No Change,3945,707,4,0.005657709,No Change,2020-09-23
Edgartown,15,,3.5,No Change,3515,356,2,0.005617978,No Change,2020-09-23
Marblehead,269,5,1.9,Higher,8292,1085,6,0.005529954,Higher,2020-09-23
Swampscott,168,5,2.6,No Change,6284,916,5,0.005458515,No Change,2020-09-23
Shrewsbury,393,13,2.4,Higher,15239,2621,14,0.005341473,Higher,2020-09-23
Andover,376,15,3,Higher,16171,3033,16,0.005275305,Higher,2020-09-23
Orleans,21,,1.3,Lower,1562,192,1,0.005208333,Lower,2020-09-23
Brimfield,14,,1.9,Lower,1111,194,1,0.005154639,Lower,2020-09-23
West Tisbury,15,,2.5,Higher,1606,194,1,0.005154639,Higher,2020-09-23
Harwich,149,,1.1,Lower,4404,392,2,0.005102041,Lower,2020-09-23
Townsend,43,,0.8,No Change,2897,392,2,0.005102041,No Change,2020-09-23
Amesbury,202,,1.3,Higher,5927,789,4,0.005069708,Higher,2020-09-23
Berlin,23,,2.2,Higher,1185,198,1,0.005050505,Higher,2020-09-23
North Brookfield,25,,1.5,Higher,1473,205,1,0.004878049,Higher,2020-09-23
Bourne,180,5,1.7,No Change,7498,1234,6,0.004862237,Lower,2020-09-23
Douglas,56,,1.5,Higher,2585,423,2,0.004728132,Higher,2020-09-23
Wilbraham,260,11,5.4,Higher,8433,2351,11,0.00467886,No Change,2020-09-23
Longmeadow,254,,1.8,Higher,6835,1071,5,0.004668534,Higher,2020-09-23
Foxborough,162,7,2.8,Lower,12445,2185,10,0.004576659,No Change,2020-09-23
Sharon,184,,1.6,Lower,7153,1120,5,0.004464286,Lower,2020-09-23
Belmont,264,8,2.1,Higher,11362,2465,11,0.004462475,No Change,2020-09-23
Tewksbury,643,6,1.4,Lower,14820,2023,9,0.004448838,No Change,2020-09-23
Sturbridge,54,,1.4,No Change,3028,451,2,0.00443459,No Change,2020-09-23
Newton,963,52,4,Higher,63622,14336,63,0.004394531,No Change,2020-09-23
Wayland,121,,2.2,Higher,5727,947,4,0.004223865,Higher,2020-09-23
Burlington,294,,1,No Change,9186,1457,6,0.004118051,No Change,2020-09-23
North Andover,440,26,6.1,Higher,26334,6730,27,0.004011887,No Change,2020-09-23
Sherborn,22,,1.9,Lower,1582,251,1,0.003984064,Lower,2020-09-23
Needham,390,11,2.7,Higher,14489,2840,11,0.003873239,Higher,2020-09-23
Ayer,151,,1.8,Higher,5746,521,2,0.003838772,Higher,2020-09-23
Sheffield,17,,2.3,No Change,1230,261,1,0.003831418,Lower,2020-09-23
Carlisle,22,,1.5,Higher,1740,265,1,0.003773585,Higher,2020-09-23
Medford,1223,37,4.3,Lower,43095,11994,45,0.003751876,No Change,2020-09-23
Sudbury,220,,1.6,Higher,7399,1081,4,0.003700278,Higher,2020-09-23
Arlington,360,12,1.9,Lower,19174,3658,13,0.003553855,No Change,2020-09-23
Sutton,74,,1.6,Lower,3174,571,2,0.003502627,Lower,2020-09-23
Somerville,1245,53,4.9,Lower,69074,19717,69,0.003499518,Lower,2020-09-23
Lexington,353,6,1.3,Lower,11680,2076,7,0.003371869,Lower,2020-09-23
Yarmouth,137,,0.9,Lower,7413,901,3,0.003329634,Lower,2020-09-23
Greenfield,229,,1.6,Higher,7737,1204,4,0.003322259,Higher,2020-09-23
Rowley,70,,1.2,Higher,2490,307,1,0.003257329,Higher,2020-09-23
Dighton,73,,0.9,Lower,2350,322,1,0.00310559,Lower,2020-09-23
Bolton,13,,1.4,No Change,2037,326,1,0.003067485,No Change,2020-09-23
Milton,370,10,2.5,No Change,18236,4278,13,0.003038803,No Change,2020-09-23
Brewster,117,,0.7,No Change,3465,332,1,0.003012048,No Change,2020-09-23
Hampden,103,,1.4,No Change,1946,336,1,0.00297619,No Change,2020-09-23
Merrimac,42,0,0,Lower,2196,338,1,0.00295858,Lower,2020-09-23
Hamilton,48,,1,No Change,2554,345,1,0.002898551,Lower,2020-09-23
Mendon,39,0,0,Lower,1959,345,1,0.002898551,Lower,2020-09-23
Gloucester,294,,0.7,Lower,8925,1044,3,0.002873563,Lower,2020-09-23
Medway,136,,1.1,Higher,4624,701,2,0.002853067,Higher,2020-09-23
North Adams,61,,2.2,Higher,5712,1767,5,0.002829655,No Change,2020-09-23
Grafton,117,,1.4,Higher,7203,1417,4,0.002822865,Higher,2020-09-23
Blackstone,74,,0.8,Lower,2648,356,1,0.002808989,Lower,2020-09-23
Webster,291,,1.2,Higher,7928,1087,3,0.00275989,Higher,2020-09-23
Waltham,1380,32,3.4,Lower,47866,14455,39,0.002698028,No Change,2020-09-23
Orange,50,,0.9,Higher,2903,371,1,0.002695418,Higher,2020-09-23
Westminster,39,,1,Lower,2620,374,1,0.002673797,Lower,2020-09-23
Southborough,44,0,0,No Change,4027,753,2,0.002656042,Higher,2020-09-23
Easthampton,129,,1.8,Lower,9918,2779,7,0.002518892,No Change,2020-09-23
West Boylston,67,,0.9,Lower,2939,410,1,0.002439024,Lower,2020-09-23
Unknown,312,33,,Higher,91875,10391,25,0.002405928,No Change,2020-09-23
Pittsfield,230,,0.6,Higher,16055,2149,5,0.002326664,No Change,2020-09-23
Topsfield,123,,1.2,No Change,3006,430,1,0.002325581,No Change,2020-09-23
Tisbury,15,,1.7,No Change,4312,433,1,0.002309469,No Change,2020-09-23
Acton,195,,0.9,Higher,8805,1332,3,0.002252252,No Change,2020-09-23
Dover,23,,1.4,Higher,2218,450,1,0.002222222,Higher,2020-09-23
Winchester,137,,1.3,Higher,10417,1807,4,0.002213614,Higher,2020-09-23
Paxton,45,,4.3,Lower,5563,1825,4,0.002191781,No Change,2020-09-23
Granby,47,,1.2,Lower,2289,468,1,0.002136752,Lower,2020-09-23
Charlton,115,,1,Higher,5862,938,2,0.002132196,No Change,2020-09-23
Easton,342,10,3,Lower,19502,5212,11,0.002110514,No Change,2020-09-23
Brookline,477,15,1.7,Lower,29734,7425,15,0.002020202,Lower,2020-09-23
Beverly,692,11,1.9,No Change,25982,7000,14,0.002,No Change,2020-09-23
Concord,195,,1.1,Higher,10138,1572,3,0.001908397,Higher,2020-09-23
Norfolk,43,,0.6,Lower,4874,548,1,0.001824818,Lower,2020-09-23
Ware,45,,0.7,Lower,3397,572,1,0.001748252,Lower,2020-09-23
Groton,48,,1.2,Higher,5010,1192,2,0.001677852,No Change,2020-09-23
Marion,20,,3.1,Higher,4397,1224,2,0.001633987,Higher,2020-09-23
Norton,180,7,2.5,Lower,16253,5088,8,0.001572327,Lower,2020-09-23
Oxford,96,0,0,Lower,4367,668,1,0.001497006,Lower,2020-09-23
Cambridge,1161,38,2.4,No Change,112699,34763,48,0.001380778,No Change,2020-09-23
Sandwich,109,,0.3,No Change,5781,834,1,0.001199041,No Change,2020-09-23
Williamstown,95,6,5.8,Higher,12601,5165,6,0.001161665,No Change,2020-09-23
Wellesley,285,10,2.4,Higher,27614,8873,10,0.001127015,No Change,2020-09-23
South Hadley,214,,0.4,No Change,8225,1831,2,0.001092299,Lower,2020-09-23
Hopkinton,142,,0.4,Higher,6522,1022,1,0.000978474,Higher,2020-09-23
Dudley,108,,1.7,No Change,9591,3096,3,0.000968992,No Change,2020-09-23
Belchertown,133,,0.4,Lower,6291,1294,1,0.000772798,No Change,2020-09-23
Amherst,149,,0.5,No Change,55640,21102,11,0.000521278,No Change,2020-09-23
Northampton,322,0,0,Lower,18005,3871,1,0.000258331,No Change,2020-09-23
Ashburnham,38,0,0,Lower,2356,388,0,0,Lower,2020-09-23
Ashfield,6,0,0,Lower,517,95,0,0,Lower,2020-09-23
Barre,65,0,0,Lower,1823,261,0,0,Lower,2020-09-23
Becket,16,0,0,No Change,491,66,0,0,No Change,2020-09-23
Bernardston,8,0,0,No Change,797,163,0,0,No Change,2020-09-23
Boxborough,28,0,0,No Change,1775,251,0,0,No Change,2020-09-23
Brookfield,26,0,0,No Change,1246,153,0,0,No Change,2020-09-23
Buckland,8,0,0,No Change,97,12,0,0,No Change,2020-09-23
Chesterfield,5,0,0,No Change,326,59,0,0,No Change,2020-09-23
Clarksburg,9,0,0,No Change,387,60,0,0,No Change,2020-09-23
Cohasset,36,0,0,Lower,2395,429,0,0,Lower,2020-09-23
Deerfield,18,0,0,No Change,4367,2078,0,0,No Change,2020-09-23
Dunstable,10,0,0,No Change,925,146,0,0,No Change,2020-09-23
East Brookfield,13,0,0,No Change,673,108,0,0,No Change,2020-09-23
Eastham,14,0,0,No Change,1271,139,0,0,No Change,2020-09-23
Egremont,7,0,0,No Change,305,44,0,0,No Change,2020-09-23
Erving,6,0,0,No Change,632,133,0,0,No Change,2020-09-23
Goshen,5,0,0,No Change,174,32,0,0,No Change,2020-09-23
Gosnold,5,0,0,No Change,110,2,0,0,No Change,2020-09-23
Granville,12,0,0,No Change,482,68,0,0,No Change,2020-09-23
Hadley,50,0,0,No Change,4899,1064,0,0,Lower,2020-09-23
Hardwick,10,0,0,No Change,739,126,0,0,No Change,2020-09-23
Hatfield,21,0,0,No Change,1297,212,0,0,No Change,2020-09-23
Hawley,0,0,0,No Change,39,2,0,0,No Change,2020-09-23
Heath,0,0,0,No Change,135,33,0,0,No Change,2020-09-23
Hinsdale,5,0,0,No Change,711,99,0,0,No Change,2020-09-23
Holland,12,0,0,No Change,744,125,0,0,No Change,2020-09-23
Hubbardston,8,0,0,No Change,1410,217,0,0,No Change,2020-09-23
Lanesborough,8,0,0,No Change,891,142,0,0,No Change,2020-09-23
Lee,22,0,0,No Change,1854,196,0,0,No Change,2020-09-23
Lenox,19,0,0,No Change,2306,227,0,0,No Change,2020-09-23
Leyden,0,0,0,No Change,53,14,0,0,No Change,2020-09-23
Lincoln,48,0,0,Lower,2826,429,0,0,Lower,2020-09-23
Mattapoisett,46,0,0,Lower,1959,272,0,0,Lower,2020-09-23
Middlefield,0,0,0,No Change,58,13,0,0,No Change,2020-09-23
Montague,29,0,0,No Change,3106,567,0,0,No Change,2020-09-23
Montgomery,7,0,0,Lower,90,15,0,0,Lower,2020-09-23
Mount Washington,0,0,0,No Change,15,2,0,0,No Change,2020-09-23
Nahant,47,0,0,No Change,1443,208,0,0,Lower,2020-09-23
New Ashford,0,0,0,No Change,47,8,0,0,No Change,2020-09-23
New Marlborough,9,0,0,No Change,309,41,0,0,No Change,2020-09-23
Oak Bluffs,10,0,0,No Change,2284,218,0,0,No Change,2020-09-23
Oakham,11,0,0,Lower,608,81,0,0,Lower,2020-09-23
Petersham,8,0,0,No Change,389,57,0,0,No Change,2020-09-23
Phillipston,19,0,0,Lower,468,51,0,0,Lower,2020-09-23
Plympton,12,0,0,No Change,831,122,0,0,No Change,2020-09-23
Princeton,8,0,0,No Change,1414,245,0,0,No Change,2020-09-23
Rowe,0,0,0,No Change,109,16,0,0,No Change,2020-09-23
Russell,22,0,0,No Change,476,71,0,0,Lower,2020-09-23
Sandisfield,7,0,0,No Change,491,50,0,0,No Change,2020-09-23
Shelburne,9,0,0,No Change,1221,206,0,0,No Change,2020-09-23
Southampton,35,0,0,No Change,2074,373,0,0,No Change,2020-09-23
Stockbridge,15,0,0,No Change,751,90,0,0,No Change,2020-09-23
