Place,Cases,CasesLast14Days,AvgDailyPer100K,RelativeChange,TotalTested,TotalTestedLast14Days,TotalPositiveLast14Days,PctPositive,ChangePctPositivity,Date
Chatham,22,0,0,No Change,1308,230,0,0,No Change,2020-08-12
Clarksburg,8,0,0,No Change,219,39,0,0,No Change,2020-08-12
Dighton,68,0,0,No Change,1322,186,0,0,No Change,2020-08-12
Dover,22,0,0,Lower,1022,276,0,0,No Change,2020-08-12
Dunstable,10,0,0,No Change,485,83,0,0,No Change,2020-08-12
East Brookfield,13,0,0,No Change,371,63,0,0,No Change,2020-08-12
Edgartown,9,0,0,No Change,2166,396,0,0,No Change,2020-08-12
Egremont,7,0,0,Lower,156,24,0,0,Lower,2020-08-12
Erving,6,0,0,No Change,300,50,0,0,No Change,2020-08-12
Essex,24,0,0,No Change,633,97,0,0,No Change,2020-08-12
Goshen,5,0,0,No Change,83,23,0,0,No Change,2020-08-12
Gosnold,5,0,0,No Change,104,0,0,0,No Change,2020-08-12
Granville,12,0,0,No Change,287,45,0,0,No Change,2020-08-12
Groton,44,0,0,Lower,2159,398,0,0,Lower,2020-08-12
Hadley,45,0,0,Lower,2078,378,0,0,No Change,2020-08-12
Halifax,59,0,0,Lower,1392,178,0,0,No Change,2020-08-12
Hampden,99,0,0,No Change,1050,138,0,0,No Change,2020-08-12
Hardwick,10,0,0,Lower,385,64,0,0,Lower,2020-08-12
Harvard,18,0,0,No Change,1057,220,0,0,No Change,2020-08-12
Hawley,0,0,0,No Change,28,5,0,0,No Change,2020-08-12
Heath,0,0,0,No Change,54,7,0,0,No Change,2020-08-12
Hinsdale,5,0,0,Lower,425,77,0,0,Lower,2020-08-12
Huntington,14,0,0,No Change,437,85,0,0,No Change,2020-08-12
Lakeville,63,0,0,No Change,1867,312,0,0,No Change,2020-08-12
Lanesborough,8,0,0,No Change,467,83,0,0,No Change,2020-08-12
Leyden,0,0,0,No Change,26,6,0,0,No Change,2020-08-12
Manchester,21,0,0,No Change,887,163,0,0,No Change,2020-08-12
Mattapoisett,42,0,0,Lower,1121,160,0,0,Lower,2020-08-12
Middlefield,0,0,0,No Change,25,4,0,0,No Change,2020-08-12
Monroe,0,0,0,No Change,11,0,0,0,No Change,2020-08-12
Montague,29,0,0,No Change,1677,259,0,0,No Change,2020-08-12
Mount Washington,0,0,0,No Change,6,3,0,0,No Change,2020-08-12
New Ashford,0,0,0,No Change,23,6,0,0,No Change,2020-08-12
Orleans,18,0,0,Lower,986,133,0,0,Lower,2020-08-12
Petersham,8,0,0,No Change,229,34,0,0,No Change,2020-08-12
Phillipston,16,0,0,No Change,302,47,0,0,No Change,2020-08-12
Plympton,11,0,0,No Change,488,58,0,0,No Change,2020-08-12
Princeton,8,0,0,No Change,713,150,0,0,No Change,2020-08-12
Richmond,5,0,0,No Change,242,44,0,0,No Change,2020-08-12
Rowe,0,0,0,No Change,64,10,0,0,No Change,2020-08-12
Sheffield,16,0,0,Lower,541,90,0,0,Lower,2020-08-12
Shelburne,8,0,0,No Change,687,111,0,0,No Change,2020-08-12
Southampton,33,0,0,Lower,1000,208,0,0,Lower,2020-08-12
Southborough,43,0,0,Lower,1947,368,0,0,Lower,2020-08-12
Stockbridge,15,0,0,No Change,456,62,0,0,No Change,2020-08-12
Templeton,124,0,0,No Change,1993,292,0,0,No Change,2020-08-12
Wales,5,0,0,Lower,254,61,0,0,Lower,2020-08-12
Warren,26,0,0,Lower,752,141,0,0,Lower,2020-08-12
Warwick,0,0,0,No Change,123,22,0,0,No Change,2020-08-12
Wendell,0,0,0,No Change,167,33,0,0,No Change,2020-08-12
West Brookfield,25,0,0,No Change,1147,200,0,0,No Change,2020-08-12
West Stockbridge,5,0,0,No Change,245,50,0,0,No Change,2020-08-12
Westhampton,5,0,0,No Change,202,39,0,0,No Change,2020-08-12
Westminster,34,0,0,No Change,1567,267,0,0,No Change,2020-08-12
Whately,7,0,0,Lower,138,35,0,0,Lower,2020-08-12
Williamstown,83,0,0,No Change,1645,222,0,0,No Change,2020-08-12
Windsor,0,0,0,No Change,126,19,0,0,No Change,2020-08-12
Worthington,0,0,0,No Change,210,47,0,0,No Change,2020-08-12
Unknown,306,65,,*,59423,7948,66,,*,2020-08-12
Russell,21,,7.6,Lower,296,44,4,0.090909091,Lower,2020-08-19
Lynn,4334,334,23.6,Lower,36699,5569,395,0.070928353,Lower,2020-08-19
Chesterfield,5,,11.7,Higher,171,30,2,0.066666667,Higher,2020-08-19
Revere,2183,161,18.9,Higher,21092,3890,210,0.053984576,No Change,2020-08-19
Chelsea,3223,126,23.9,Higher,20293,3010,149,0.049501661,Higher,2020-08-19
Everett,1963,75,11,Lower,16777,2081,89,0.0427679,Lower,2020-08-19
Salem,747,66,10.5,Higher,12513,1913,74,0.038682697,Higher,2020-08-19
Winthrop,347,30,11.4,Higher,5949,922,35,0.037960954,Higher,2020-08-19
South Hadley,203,28,11.1,Higher,3599,861,32,0.037166086,Higher,2020-08-19
Saugus,630,36,9,No Change,8202,1140,41,0.035964912,Lower,2020-08-19
Sandisfield,7,,7.6,No Change,354,28,1,0.035714286,Higher,2020-08-19
Brockton,4533,117,8.5,Higher,33960,4125,145,0.035151515,Lower,2020-08-19
Hanson,119,9,6,Higher,2170,310,10,0.032258065,Higher,2020-08-19
Brookfield,26,,7.8,Higher,757,159,5,0.031446541,Higher,2020-08-19
